Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
251688,Breakfast at Tiffany’s and Three Stories,Truman Capote,"Capote, Truman",,"=""""","=""""",5,3.85,Vintage Books,Paperback,142,1993,1958,2020/02/19,2020/02/16,,,read,,,,1,0
15818107,Orphan Train,Christina Baker Kline,"Kline, Christina Baker",,"=""""","=""""",5,4.20,William Morrow Paperbacks,Paperback,278,2013,2013,2020/02/13,2020/02/10,historical-fiction,historical-fiction (#3),read,,,,1,0
48328,Revolutionary Road,Richard Yates,"Yates, Richard",,"=""""","=""""",3,3.93,Methuen,Paperback,355,2001,1961,,2019/11/10,,,read,,,,2,0
42519313,Nothing to See Here,Kevin    Wilson,"Wilson, Kevin",,"=""0062913484""","=""9780062913487""",4,3.96,Ecco,ebook,288,2019,2019,2019/11/17,2019/11/11,,,read,,,,1,0
608287,Jesus’ Son,Denis Johnson,"Johnson, Denis",,"=""0060975776""","=""9780060975777""",0,4.12,Perennial,Mass Market Paperback,160,1993,1992,,2019/11/15,to-read,to-read (#25),to-read,,,,0,0
7930947,Rebel Buddha: On the Road to Freedom,Dzogchen Ponlop,"Ponlop, Dzogchen",,"=""1590308743""","=""9781590308745""",0,4.05,Shambhala,Hardcover,224,2010,2010,,2019/10/10,to-read,to-read (#24),to-read,,,,0,0
133518,The Things They Carried,Tim O'Brien,"O'Brien, Tim",,"=""0767902890""","=""9780767902892""",5,4.15,Broadway,Paperback,246,1998,1990,2019/10/10,2011/11/06,,,read,,,,1,0
42270835,The Nickel Boys,Colson Whitehead,"Whitehead, Colson",,"=""""","=""""",5,4.25,Doubleday,ebook,213,2019,2019,2019/08/03,2019/07/20,,,read,,,,1,0
374233,If on a Winter's Night a Traveler,Italo Calvino,"Calvino, Italo",William Weaver,"=""""","=""""",0,4.01,L&OD Key Porter,Paperback,260,1982,1979,,2019/07/21,to-read,to-read (#23),to-read,,,,0,0
243598,The Sheltering Sky,Paul Bowles,"Bowles, Paul",,"=""0141023422""","=""9780141023427""",4,3.88,Penguin Books,Paperback,342,2007,1949,2019/07/18,2019/07/05,,,read,,,,1,0
96642,Rocket Boys (Coalwood #1),Homer Hickam,"Hickam, Homer",,"=""0385333218""","=""9780385333214""",0,4.21,Delta,Paperback,368,2000,1998,,2019/07/12,to-read,to-read (#22),to-read,,,,0,0
42201996,"Ask Again, Yes",Mary Beth Keane,"Keane, Mary Beth",,"=""1982106980""","=""9781982106980""",5,3.93,Scribner,Hardcover,388,2019,2019,2019/07/10,2019/07/05,,,read,,,,1,0
37539457,Normal People,Sally Rooney,"Rooney, Sally",,"=""0571334644""","=""9780571334643""",4,3.81,Faber & Faber,Hardcover,266,2018,2018,,2019/05/17,literary-fiction,literary-fiction (#15),read,,,,1,0
13613885,La metamorfosis,Franz Kafka,"Kafka, Franz",,"=""8420651362""","=""9788420651361""",3,3.91,Alianza Editorial,Paperback,125,2012,1915,,2019/05/09,,,read,,,,1,0
